pet,mobiliado,metro_proximo,area,quartos,suite,banheiros,aluguel,condominio,iptu,seguro_incendio,taxa_servico,total,cost_per_m2,cluster
1,0,0,24.0,1.0,1,1.0,1900.0,350.0,0.0,25.0,49.0,2324.0,79.17,4
1,0,0,24.0,1.0,1,1.0,1900.0,350.0,0.0,25.0,49.0,2324.0,79.17,4
1,0,1,31.0,2.0,0,1.0,1900.0,522.0,0.0,25.0,49.0,2496.0,61.29,4
1,0,1,31.0,2.0,0,1.0,1900.0,522.0,0.0,25.0,49.0,2496.0,61.29,4
1,0,1,31.0,2.0,0,1.0,1900.0,522.0,0.0,25.0,49.0,2496.0,61.29,4
1,0,1,38.0,2.0,0,1.0,1900.0,450.0,250.0,25.0,49.0,2674.0,50.0,4
1,0,1,38.0,2.0,0,1.0,1900.0,450.0,250.0,25.0,49.0,2674.0,50.0,4
0,0,0,35.0,1.0,0,1.0,1920.0,0.0,100.0,25.0,49.0,2094.0,54.86,4
0,0,0,35.0,1.0,0,1.0,1920.0,0.0,100.0,25.0,49.0,2094.0,54.86,4
1,0,0,37.0,1.0,0,1.0,1920.0,0.0,103.0,25.0,49.0,2097.0,51.89,4
1,0,0,37.0,1.0,0,1.0,1920.0,0.0,103.0,25.0,49.0,2097.0,51.89,4
1,0,0,60.0,2.0,1,2.0,1920.0,0.0,150.0,32.0,49.0,2151.0,32.0,4
1,0,0,50.0,2.0,0,1.0,1920.0,80.0,140.0,32.0,49.0,2221.0,38.4,4
0,0,0,24.0,1.0,1,1.0,1920.0,304.0,32.0,25.0,49.0,2330.0,80.0,4
0,0,0,24.0,1.0,1,1.0,1920.0,304.0,32.0,25.0,49.0,2330.0,80.0,4
1,1,0,24.0,1.0,1,1.0,1930.0,230.0,0.0,25.0,49.0,2234.0,80.42,4
1,1,0,24.0,1.0,1,1.0,1930.0,230.0,0.0,25.0,49.0,2234.0,80.42,4
1,1,1,36.0,1.0,0,1.0,1930.0,721.0,123.0,25.0,49.0,2848.0,53.61,4
1,1,1,36.0,1.0,0,1.0,1930.0,721.0,123.0,25.0,49.0,2848.0,53.61,4
1,0,1,40.0,2.0,0,1.0,1932.0,475.0,47.0,25.0,50.0,2529.0,48.3,4
